Localidad,Latitud,Longitud,Region,Provincia,Comuna,Superficie
Tiltil,-33.0852808,-70.9293877,Metropolitana de Santiago,Chacabuco,Tiltil,654.68
Timaukel,-54.1570931,-69.3779651,Magallanes y de la Antártica Chilena,Tierra del Fuego,Timaukel,11020.1
Tirúa,-38.3438662,-73.4934808,Biobío,Arauco,Tirúa,626.73
Toconao,-23.1905207,-68.0070405,Antofagasta,El Loa,San Pedro de Atacama,23612.8
Tocopilla,-22.0887189,-70.1960657,Antofagasta,Tocopilla,Tocopilla,4122.92
Toltén,-39.2143585,-73.0499304,La Araucanía,Cautín,Toltén,851.89
Tomé,-36.6170801,-72.9575043,Biobío,Concepción,Tomé,494.26
Tongoy,-30.2572163,-71.492858,Coquimbo,Elqui,Coquimbo,1426.34
Torres del Paine,-51.0827249,-72.9254451,Magallanes y de la Antártica Chilena,Última Esperanza,Torres del Paine,6216.33
Traiguen,-38.250816,-72.6668798,La Araucanía,Malleco,Traiguén,896.85
Trehuaco,-36.4323456,-72.6152748,Ñuble,Itata,Treguaco,312.91
Tucapel,-37.2925581,-71.9495236,Biobío,Biobío,Tucapel,913.67
Ujina,-20.9702959,-68.6262167,Tarapacá,Tamarugal,Pica,8989.52
Valdivia,-39.8141262,-73.2459859,Los Ríos,Valdivia,Valdivia,1018.52
Vallenar,-28.5750438,-70.7616398,Atacama,Huasco,Vallenar,7228.14
Valparaíso,-33.0458456,-71.6196749,Valparaíso,Valparaíso,Valparaíso,310.67
Vichuqén,-34.8815616,-71.9945589,Maule,Curicó,Vichuquén,451.51
Victoria,-38.2339494,-72.3316568,La Araucanía,Malleco,Victoria,1261.78
Vicuña,-30.0340482,-70.7126702,Coquimbo,Elqui,Vicuña,7581.82
Vilcún,-38.6703956,-72.2240806,La Araucanía,Cautín,Vilcún,1415.41
Villa Alegre,-35.6752031,-71.7446702,Maule,Linares,Villa Alegre,188.59
Villa Alemana,-33.0441903,-71.3725464,Valparaíso,Marga Marga,Villa Alemana,96.33
Villa Las Estrellas,-27.3835026,-70.3003379,Atacama,Copiapó,Copiapó,17792.72
Villarrica,-39.2780911,-72.2274364,La Araucanía,Cautín,Villarrica,1291.82
Viña del Mar,-33.0244535,-71.5517636,Valparaíso,Valparaíso,Viña del Mar,120.49
Visviri,-17.5947669,-69.4815536,Arica y Parinacota,Parinacota,General Lagos,2258.78
Yerbas Buenas,-35.7464128,-71.5820799,Maule,Linares,Yerbas Buenas,258.85
Yumbel,-37.0978676,-72.5622801,Biobío,Biobío,Yumbel,726.88
Yungay,-37.1193665,-72.0188531,Ñuble,Diguillín,Yungay,823.99
Zapallar,-32.5528294,-71.4588181,Valparaíso,Petorca,Zapallar,288.24
