Localidad,Latitud,Longitud,Region,Provincia,Comuna,Superficie
El Bosque,-33.5561468,-70.6655679,Metropolitana de Santiago,Santiago,El Bosque,14.25
El Carmen,-36.897855,-72.0246149,Ñuble,Diguillín,El Carmen,665.51
El Loa,-40.5743116,-73.1727402,Los Lagos,Osorno,Osorno,954.71
El Monte,-33.6783192,-70.9782465,Metropolitana de Santiago,Talagante,El Monte,115.96
El Quisco,-33.400311,-71.693998,Valparaíso,San Antonio,El Quisco,51.4
El Salvador,-26.2462114,-69.6259658,Atacama,Chañaral,Diego de Almagro,18981.67
El Tabo,-33.4545847,-71.669107,Valparaíso,San Antonio,El Tabo,99.5
Empedrado,-35.5907772,-72.2776205,Maule,Talca,Empedrado,565.11
Entre Lagos,-40.6835571,-72.6039988,Los Lagos,Osorno,Puyehue,1634.78
Ercilla,-38.0609055,-72.3754686,La Araucanía,Malleco,Ercilla,498.65
Estación Central,-33.4536375,-70.6898654,Metropolitana de Santiago,Santiago,Estación Central,14.38
Florida,-36.8253041,-72.6614469,Biobío,Concepción,Florida,605.75
Freire,-38.9514242,-72.6254333,La Araucanía,Cautín,Freire,869.83
Freirina,-28.5086484,-71.0785719,Atacama,Huasco,Freirina,3221.49
Fresia,-41.1531405,-73.4223148,Los Lagos,Llanquihue,Fresia,1276.2
Frutillar,-41.1258462,-73.0604738,Los Lagos,Llanquihue,Frutillar,828.39
Futrono,-40.131196,-72.3826602,Los Ríos,Ranco,Futrono,2089.33
Galvarino,-38.4111234,-72.7812506,La Araucanía,Cautín,Galvarino,567.79
Gorbea,-39.1032067,-72.6759888,La Araucanía,Cautín,Gorbea,690.29
Graneros,-34.0644743,-70.7262983,Libertador General Bernardo O'Higgins,Cachapoal,Graneros,112.47
Hualaihue,-42.1948455,-72.3377589,Los Lagos,Palena,Hualaihué,2833.2
Hualañé,-34.9774855,-71.8012086,Maule,Curicó,Hualañé,628.67
Hualpén,-36.7927608,-73.0943414,Biobío,Concepción,Hualpén,53.78
Hualqui,-36.9759363,-72.9383874,Biobío,Concepción,Hualqui,535.8
Huara,-19.9957872,-69.7727034,Tarapacá,Tamarugal,Huara,10479.18
Huasco,-28.4651248,-71.2207947,Atacama,Huasco,Huasco,1601.95
Illapel,-31.6326932,-71.1683039,Coquimbo,Choapa,Illapel,2629.14
Iloca,-34.9336612,-72.1801552,Maule,Curicó,Licantén,272.74
Independencia,-33.422295,-70.6554648,Metropolitana de Santiago,Santiago,Independencia,7.35
Inio,-43.3623877,-74.1228836,Los Lagos,Chiloé,Quellón,3362.4
Iquique,-20.2140657,-70.1524646,Tarapacá,Iquique,Iquique,2290.74
Isla de Maipo,-33.7537387,-70.9039325,Metropolitana de Santiago,Talagante,Isla de Maipo,189.62
La Boca,-33.9242824,-71.8462686,Libertador General Bernardo O'Higgins,Cardenal Caro,Navidad,301.1
La Calera,-32.788981,-71.203546,Valparaíso,Quillota,Calera,59.98
La Cisterna,-33.5346265,-70.6644024,Metropolitana de Santiago,Santiago,La Cisterna,10.01
La Estrella,-34.2052857,-71.6546039,Libertador General Bernardo O'Higgins,Cardenal Caro,La Estrella,430.72
La Florida,-33.5204181,-70.6006178,Metropolitana de Santiago,Santiago,La Florida,71.06
La Granja,-33.5431234,-70.6332426,Metropolitana de Santiago,Santiago,La Granja,10.05
La Higuera,-29.511595,-71.2015007,Coquimbo,Elqui,La Higuera,4165.53
La Junta,-43.9721171,-72.4053016,Aysén del General Carlos Ibáñez del Campo,Aisén,Cisnes,15421.24
La Ligua,-32.4496375,-71.2316695,Valparaíso,Petorca,La Ligua,1163.75
La Reina,-33.442282,-70.5432729,Metropolitana de Santiago,Santiago,La Reina,23.39
La Serena,-29.902631,-71.2520253,Coquimbo,Elqui,La Serena,1900.87
La Tirana,-20.3359256,-69.6564201,Tarapacá,Tamarugal,Pozo Almonte,13775.46
La Unión,-40.2952392,-73.0820366,Los Ríos,Ranco,La Unión,2131.71
Lago Ranco,-40.3216708,-72.4813502,Los Ríos,Ranco,Lago Ranco,1763.27
